,name,event__place__name,event__place__id,lat,lon,event_count
634,"Лиговский пр., д. 74",Книжный магазин Факел,237,59.92202100,30.35552000,1
635,"Подъездной переулок, д. 12","Подъездной переулок, д. 12",512,59.91849400,30.33378100,1
636,"Римского-Корсакова, д. 16/2",Библиотека Никольская,485,59.92393700,30.30207900,5
637,"Моховая ул., д. 15",Дом национальностей Санкт-Петербурга,694,59.94401700,30.34491100,1
638,"Рубинштейна, д. 8",ПОЭТому,76,59.93164800,30.34592600,1
639,"Садовая ул., д. 18",Российская национальная библиотека,18,59.93340200,30.33465200,230
640,"Новолитовская, д. 5, корпус 4",МКЗ У Лесного,601,59.97865100,30.34893500,1
641,"Литейный пр., д. 36",Музей Некрасова,254,59.93942400,30.34876400,8
642,"Каменноостровский пр., д. 13/2",Книжный клуб на Австрийской площади,395,59.95967400,30.31778200,41
643,"Миллионая, д. 5/1",Мраморный дворец,165,59.94496300,30.32728600,2
644,"Куйбышева, д. 2",Музей политической истории России,303,59.95458800,30.32506700,6
645,"Малая Морская ул., д. 20",Море,631,59.93423100,30.31029000,3
646,"Невский пр., д. 154",Научно-методический центр,467,59.92785600,30.37433000,1
647,"Фонтанка, д. 65",БДТ,648,59.92749100,30.33085200,1
648,"Конюшенная пл., д. 2",Баракобамабар,564,59.94070400,30.32599200,1
649,"Невский пр., д. 66",Книжная лавка писателя,22,59.93375800,30.34200900,478
650,"Вознесенский пр., д. 36",Insight,566,59.92474500,30.30837600,1
651,"Херсонская, д. 12-14",Израильский Культурный Центр,302,59.92865400,30.38100500,1
652,"Гороховая ул., д. 49",Zoom,458,59.92726100,30.32345900,47
653,"Садовая ул., д. 2",Инженерный замок,606,59.94023500,30.33705900,3
654,"Новгородская ул., д. 5А","ЦГДБ им. Пушкина, филиал № 4",330,59.93299600,30.38487700,2
655,"наб. адмирала Макарова, д. 10",ЦСЛК,61,59.94547200,30.29376100,523
656,"Думская ул., д. 9",Дачники,810,59.93277500,30.32732200,1
657,"Большой проспект В. О., д. 8/4",Мастерская Юрия Молодковца,75,59.94006000,30.28767000,1
658,"Большая Московская ул., д. 1-3",Ai,725,59.92731000,30.34721900,1
659,"Лиговский пр., д. 53",Арт-Лига,345,59.92913600,30.35933800,6
660,"Канонерский остров, конец набережной Морского канала",street,53,59.91225600,30.32932500,1
661,"Большая Пушкарская ул., д. 1",Винотека D.O.C.,576,59.95446600,30.29692300,6
662,"Невский пр., д. 7/9",Сайгон,487,59.93660700,30.31426000,1
663,"Казанская ул., д. 7",Freedom,318,59.93237800,30.32104200,11
664,"Мойка, д. 42",Датский институт культуры в Санкт-Петербурге,625,59.93679200,30.32044100,1
665,"Пионерская пл., д. 1",ТЮЗ им. Брянцева,657,59.92001800,30.33467900,1
666,"Фурштатская, д. 12",Международный центр развития Счастье жизни,766,59.94551700,30.35215100,1
667,"Невский пр., д. 92",Cafemax,424,59.93238300,30.35240300,6
668,"Лиговский пр., д. 50",ДК Розы,183,59.92484400,30.35894200,5
669,"Литейный пр., д. 20",Дом офицеров,844,59.94370100,30.34909700,1
670,"Маршала Говорова, д. 10",Книжный дом,751,59.87793500,30.26550000,1
671,"Фонтанка, д. 23",Кэшбар,126,59.93448300,30.34290700,3
672,"Шпалерная ул., д. 24",Кафе-бар Пегас,144,59.94923100,30.35065100,4
673,"Невский пр., д. 41",Дворец Белосельских-Белозерских,540,59.93277000,30.34484800,2
674,"Фонтанка, д. 20",Голицын-лофт,235,59.94062300,30.34119200,7
675,"Лиговский пр., д. 53",Галерея 21,505,59.92913600,30.35933800,4
676,"Кожевенная линия В. О., д. 40",Клуб-фестиваль Морзе,370,59.92439700,30.24203600,1
677,"Университетская наб., д. 17",Академия художеств,236,59.93749500,30.29025700,5
678,"Фонтанка, д. 90",Манхэттен,402,59.92533500,30.32932500,38
