,place_name,participant_count
256,Философский факультет СПбГУ,3
257,Подвал Бродячей Собаки,1
258,Музей Ахматовой,2
259,Лицей,2
260,Музей Ахматовой,2
261,Музей Ахматовой,5
262,Подвал Бродячей Собаки,2
263,Союз художников,2
264,Музей Ахматовой,1
265,Подвал Бродячей Собаки,3
266,Музей Достоевского,2
267,Лицей,1
268,ЦСЛК,7
269,Подвал Бродячей Собаки,1
270,Центральный лекторий,1
271,Подвал Бродячей Собаки,4
272,Лицей,1
273,Navicula Artis,1
274,Интерьерный театр,1
275,Музей театрального и музыкального искусства,3
276,Лицей,2
277,Лицей,1
278,Музей Ахматовой,0
279,Борей-Арт,2
280,Музей Достоевского,3
281,Музей Ахматовой,10
282,Музей Ахматовой,9
283,Митьки-Арт,2
284,Подвал Бродячей Собаки,4
285,Музей Ахматовой,1
286,Лицей,4
287,Подвал Бродячей Собаки,5
288,Музей Ахматовой,11
289,Дом ученых,1
290,Музей Ахматовой,1
291,Музей Пушкина,1
292,Подвал Бродячей Собаки,3
293,Музей Ахматовой,2
294,Лицей,1
295,Дом журналиста,3
296,Подвал Бродячей Собаки,2
297,Музей Достоевского,1
298,Лицей,2
299,Интерьерный театр,2
300,Подвал Бродячей Собаки,2
301,ЛДМ,2
302,Музей Ахматовой,1
303,Pro Arte,3
304,Fish fabrique nouvelle,1
305,Музей Ахматовой,3
306,Подвал Бродячей Собаки,1
307,Лицей,4
308,Лицей,2
309,Подвал Бродячей Собаки,3
310,Подвал Бродячей Собаки,0
311,Книжная лавка писателя,1
312,Музей Ахматовой,2
313,Музей нонконформистского искусства,0
314,Грибоедов,0
315,Подвал Бродячей Собаки,0
316,ProArte,0
317,"Пушкинская, 10",0
318,Подвал Бродячей Собаки,2
319,Лицей,2
320,Борей-Арт,4
321,Лицей,2
322,Музей Ахматовой,1
323,Борей-Арт,18
324,Музей Ахматовой,1
325,Институт Финляндии в Санкт-Петербурге,4
326,Лицей,3
327,Борей-Арт,2
328,Navicula Artis,4
329,Подвал Бродячей Собаки,10
330,Лицей,2
331,Лицей,1
332,Музей Ахматовой,5
333,Театр Особняк,7
334,Дом ученых,2
335,Подвал Бродячей Собаки,9
336,Лицей,3
337,Лицей,1
338,Музей Пушкина,5
339,Подвал Бродячей Собаки,6
340,Дом композиторов,2
341,Лицей,3
342,Музей Ахматовой,1
343,Подвал Бродячей Собаки,1
344,Лицей,2
345,Дом журналиста,0
346,Интерьерный театр,1
347,Музей Ахматовой,0
348,Лицей,2
349,Подвал Бродячей Собаки,3
350,Музей Ахматовой,0
351,Подвал Бродячей Собаки,2
352,Музей Ахматовой,1
353,Подвал Бродячей Собаки,15
354,Борей-Арт,3
355,Лицей,1
356,Запасной дворец,2
357,Запасной дворец,1
358,Фронт,1
359,Циник,1
360,Музей Ахматовой,1
361,Музей Октябрьской железной дороги,12
362,Музей Ахматовой,1
363,Планетарий,13
364,Музей Ахматовой,0
365,Подвал Бродячей Собаки,1
366,Борей-Арт,5
367,Музей Ахматовой,0
368,Музей Ахматовой,1
369,Борей-Арт,1
370,Борей-Арт,1
371,Борей-Арт,2
372,Подвал Бродячей Собаки,1
373,Музей Ахматовой,2
374,Подвал Бродячей Собаки,7
375,Музей Ахматовой,0
376,Подвал Бродячей Собаки,3
377,Дом журналиста,1
378,Музей Ахматовой,1
379,Подвал Бродячей Собаки,2
380,Подвал Бродячей Собаки,0
381,Академическая капелла,1
382,Подвал Бродячей Собаки,1
383,Дом ученых,2
384,Российская национальная библиотека,1
385,ЦСЛК,8
386,ЦСЛК,0
387,ЦСЛК,1
388,ЦСЛК,1
389,Мастерская Анастасии Нелюбиной,8
390,Музей Ахматовой,2
391,Дом журналиста,1
392,Музей Ахматовой,2
393,Библиотека Салтыкова-Щедрина,4
394,ЦСЛК,1
395,Музей Пушкина,1
396,Борей-Арт,1
397,Музей Ахматовой,2
398,Музей Ахматовой,9
399,Музей Ахматовой,2
400,Музей Ахматовой,2
401,Музей Ахматовой,2
402,Европейский университет,1
403,Интерьерный театр,4
404,Библиотека им. Толстого,1
405,Еврейский общинный центр,1
406,ЦСЛК,2
407,Дом ученых,1
408,Дом ученых,1
409,Музей Ахматовой,0
410,Музей Ахматовой,0
411,Лицей,1
412,Редакция журнала Звезда,2
413,Navicula Artis,2
414,Подвал Бродячей Собаки,1
415,СПбГУ,6
416,Лицей,1
417,Музей Достоевского,10
418,Navicula Artis,1
419,Борей-Арт,3
420,Navicula Artis,1
421,Музей Набокова,3
422,паръ.spb,3
423,Дом ученых,1
424,Подвал Бродячей Собаки,3
425,Книжная лавка писателя,1
426,Лицей,2
427,Редакция журнала НоМИ,4
428,Европейский университет,1
429,Книжная лавка писателя,2
430,Подвал Бродячей Собаки,2
431,Музей Достоевского,4
432,Подвал Бродячей Собаки,13
433,Дом ученых,1
434,Еврейский общинный центр,1
435,Подвал Бродячей Собаки,1
436,Борей-Арт,3
437,Подвал Бродячей Собаки,0
438,Музей Блока,1
439,Музей Ахматовой,1
440,Манеж,0
441,Манеж,0
442,Музей Достоевского,0
443,Подвал Бродячей Собаки,6
444,Центральный лекторий,1
445,Дом ученых,1
446,Подвал Бродячей Собаки,1
447,Институт Океанологии,1
448,Музей Ахматовой,1
449,Дом ученых,1
450,Подвал Бродячей Собаки,1
451,Музей Ахматовой,0
452,Подвал Бродячей Собаки,4
453,Дом ученых,1
454,Центральный лекторий,4
455,Музей Ахматовой,2
456,Подвал Бродячей Собаки,2
457,Музей Ахматовой,3
458,Институт Финляндии в Санкт-Петербурге,2
459,Подвал Бродячей Собаки,1
460,Подвал Бродячей Собаки,0
461,Филологический факультет СПбГУ,2
462,Библиотека Маяковского,0
463,Музей Ахматовой,8
464,Подвал Бродячей Собаки,3
465,Дом ученых,1
466,Музей Блока,1
467,Лицей,1
468,ЦСЛК,0
469,Подвал Бродячей Собаки,3
470,ЦСЛК,0
471,Музей Достоевского,8
472,Подвал Бродячей Собаки,15
473,Лицей,1
474,Музей Ахматовой,1
475,Музей Ахматовой,1
476,Подвал Бродячей Собаки,1
477,СПбГУ,2
478,Галерея-103,1
479,Борей-Арт,3
480,Центральный лекторий,1
481,Борей-Арт,3
482,Лицей,3
483,ЦСЛК,0
484,Борей-Арт,8
485,Борей-Арт,1
486,ЦСЛК,0
487,Борей-Арт,0
488,Quo Vadis!?,1
489,Борей-Арт,1
490,Борей-Арт,1
491,Восточноевропейский институт психоанализа,14
492,ЦСЛК,1
493,Подвал Бродячей Собаки,0
494,Российская национальная библиотека,1
495,Музей Пушкина,1
496,Библиотека Блока,5
497,Музей Ахматовой,6
498,Дом ученых,1
499,Филологический факультет СПбГУ,0
500,Французский институт,2
501,Физический факультет СПбГУ,4
502,Подвал Бродячей Собаки,1
503,Музей Пушкина,10
504,Музей Ахматовой,7
505,Галерея Палитра,4
506,Музей Достоевского,2
507,Музей Ахматовой,4
508,Подвал Бродячей Собаки,1
509,Музей Ахматовой,2
510,Quo Vadis!?,1
511,Лицей,1
512,Дом ученых,1
513,Подвал Бродячей Собаки,1
514,Филологический факультет СПбГУ,2
515,Подвал Бродячей Собаки,8
516,Центральный лекторий,7
517,Лицей,1
518,Лицей,2
519,Французский институт,2
520,Подвал Бродячей Собаки,1
521,Смольный институт свободных искусств и наук,2
