,place_name,participant_count
2204,The Point,3
2205,ДК Крупской,1
2206,The Point,0
2207,Библиотека Маяковского,1
2208,Буквоед,1
2209,ЦСЛК,2
2210,ГЭЗ-21,2
2211,Смольный институт свободных искусств и наук,1
2212,Книги и кофе,1
2213,The Point,1
2214,Буквоед,1
2215,Буквоед,1
2216,Книги и кофе,2
2217,Библиотека Маяковского,1
2218,Буквоед,2
2219,ЦСЛК,4
2220,Дом книги,1
2221,Библиотека Маяковского,1
2222,Книги и кофе,3
2223,ДК Крупской,2
2224,Манеж,0
2225,Борей-Арт,1
2226,Книжный клуб на Австрийской площади,2
2227,Библиотека Маяковского,1
2228,ЦСЛК,3
2229,ЦСЛК,1
2230,Библиотека Лермонтова,1
2231,Старая Вена,2
2232,Книжный клуб на Австрийской площади,1
2233,Библиотека Маяковского,1
2234,Буквоед,2
2235,Санкт-Петербургский союз литераторов,1
2236,Буквоед,2
2237,Смольный институт свободных искусств и наук,1
2238,ЦСЛК,1
2239,Книжный дом,2
2240,Театр поэтов Послушайте!,0
2241,Старая Вена,3
2242,Книги и кофе,4
2243,Библиотека Маяковского,1
2244,Матисс-клуб,1
2245,ЦСЛК,0
2246,Театр поэтов Послушайте!,5
2247,Старая Вена,2
2248,ЦСЛК,4
2249,Смольный институт свободных искусств и наук,1
2250,Театр поэтов Послушайте!,4
2251,Кафе-клуб Песня,9
2252,Книги и кофе,2
2253,Green club,6
2254,Санкт-Петербургский союз литераторов,1
2255,Буквоед,1
2256,Старая Вена,6
2257,Библиотека Маяковского,1
2258,Дом книги,1
2259,ЦСЛК,1
2260,Музей Ахматовой,1
2261,ЦСЛК,3
2262,ЦСЛК,2
2263,Книги и кофе,0
2264,Музей Державина,3
2265,Музей Ахматовой,3
2266,Буквоед,10
2267,Борей-Арт,2
2268,Европейский университет,5
2269,Галерея Кино-Фот-703,1
2270,ЦСЛК,1
2271,Театр поэтов Послушайте!,3
2272,Филологический факультет СПбГУ,1
2273,Библиотека Маяковского,1
2274,Сити-бар,0
2275,Буквоед,1
2276,Дом книги,1
2277,Буквоед,6
2278,ЦСЛК,3
2279,Музей Ахматовой,12
2280,Буквоед,1
2281,Музей Ахматовой,2
2282,Снарк,1
2283,ЦСЛК,4
2284,Буквоед,1
2285,Музей Ахматовой,11
2286,Библиотека Маяковского,1
2287,Музей Достоевского,1
2288,Старая Вена,9
2289,Музей Ахматовой,1
2290,Смольный институт свободных искусств и наук,6
2291,Музей Ахматовой,2
2292,Музей Ахматовой,3
2293,Сити-бар,0
2294,Библиотека Маяковского,1
2295,Музей Ахматовой,2
2296,ЦСЛК,5
2297,Музей Ахматовой,10
2298,Смольный институт свободных искусств и наук,1
2299,Слесарные мастерские Малого Драматического Театра,2
2300,Стирка,0
2301,Музей Ахматовой,2
2302,Российская национальная библиотека,7
2303,Музей Ахматовой,11
2304,ЦСЛК,3
2305,Квартирник,5
2306,Книжная лавка писателя,5
2307,ЦСЛК,0
2308,Музей Ахматовой,2
2309,Буквоед,14
2310,Театр Зазеркалье,4
2311,Библиотека Маяковского,1
2312,Navicula Artis,1
2313,Дом книги,1
2314,Орландина,0
2315,Букбери,1
2316,Галерея Кино-Фот-703,2
2317,Российская национальная библиотека,0
2318,ГОСТИ,1
2319,Стирка,0
2320,Музей Ахматовой,2
2321,Navicula Artis,1
2322,Подвал Бродячей Собаки,1
2323,Библиотека Маяковского,1
2324,Сити-бар,3
2325,Музей Ахматовой,2
2326,Старая Вена,3
2327,Буквоед,1
2328,Смольный институт свободных искусств и наук,1
2329,Чердак,2
2330,Дом семейных торжеств,5
2331,Кафе-клуб Песня,10
2332,Чердак,2
2333,Музей Ахматовой,3
2334,Музей Достоевского,1
2335,Библиотека Маяковского,1
2336,Старая Вена,9
2337,Музей Ахматовой,0
2338,Стирка,5
2339,Санкт-Петербургский союз литераторов,8
2340,Манхэттен,1
2341,Революция,4
2342,Театр поэтов Послушайте!,7
2343,Филологический факультет СПбГУ,2
2344,Филологический факультет РГПУ им. Герцена,3
2345,Музей Ахматовой,3
2346,Библиотека Маяковского,1
2347,Музей Ахматовой,3
2348,Митьки-Арт,3
2349,Новая сцена Александринского театра,3
2350,Книжный клуб на Австрийской площади,1
2351,Буквоед,1
2352,Театр поэтов Послушайте!,4
2353,Музей Ахматовой,2
2354,Кинотеатр Прибой,0
2355,Библиотека Маяковского,1
2356,Сити-бар,0
2357,Буквоед,20
2358,Библиотека Лермонтова,1
2359,Революция,12
2360,Театр поэтов Послушайте!,4
2361,Подвал Бродячей Собаки,2
2362,Музей Державина,4
2363,Библиотека Маяковского,1
2364,Буквоед,1
2365,Смольный институт свободных искусств и наук,2
2366,Буквоед,4
2367,Музей Ахматовой,2
2368,Галерея Кино-Фот-703,28
2369,Музей Пушкина,11
2370,Стирка,0
2371,Библиотека Маяковского,2
2372,Еврейский общинный центр,2
2373,Буквоед,1
2374,f-108,4
2375,Библиотека Маяковского,1
2376,Российская национальная библиотека,9
2377,Смольный институт свободных искусств и наук,1
2378,Музей Набокова,1
2379,Революция,10
2380,Борей-Арт,4
2381,Музей петербургского авангарда,0
2382,Музей Ахматовой,10
2383,ЦСЛК,1
2384,Буквоед,1
2385,Филологический факультет СПбГУ,1
2386,Музей Ахматовой,5
2387,Библиотека Маяковского,1
2388,Буквоед,1
2389,Музей Набокова,1
2390,РЫБАПИЛА,27
2391,Российская национальная библиотека,1
2392,Библиотека Маяковского,1
2393,Библиотека Лермонтова,0
2394,ЦСЛК,1
2395,Театр поэтов Послушайте!,0
2396,Сити-бар,10
2397,Музей Ахматовой,4
2398,Подвал Бродячей Собаки,0
2399,"ОКЦ на Пушкинской, 9",0
2400,Музей Державина,3
2401,Библиотека Маяковского,1
2402,Сити-бар,0
2403,Ленэкспо,1
2404,Ленэкспо,0
2405,Ленэкспо,1
2406,Библиотека Лермонтова,0
2407,Российская национальная библиотека,9
2408,Дом книги,1
2409,Дом книги,1
2410,Ленэкспо,1
2411,Ленэкспо,3
2412,Дом книги,1
2413,Ленэкспо,0
2414,"ЦГДБ им. Пушкина, филиал № 3",0
2415,Снарк,1
2416,Библиотека Старая Коломна,2
2417,Кафе-клуб Песня,0
2418,Революция,24
2419,Театр Под самой крышей,2
2420,Ленэкспо,1
2421,Ленэкспо,1
2422,Ленэкспо,1
2423,Галерея Кино-Фот-703,18
2424,Подвал Бродячей Собаки,0
2425,Стирка,0
2426,Российская национальная библиотека,1
2427,Музей Набокова,4
2428,Театр поэтов Послушайте!,0
2429,Филологический факультет СПбГУ,2
2430,Подвал Бродячей Собаки,0
2431,Старая Вена,1
2432,Филологический факультет СПбГУ,1
2433,DO-gallery,9
2434,Библиотека Маяковского,3
2435,ЦСЛК,2
2436,Буквоед,0
2437,Летний сад,0
2438,Буквоед,0
2439,Балтийский стрелковый центр,0
2440,Буквоед,0
2441,Стирка,1
2442,Музей Ахматовой,9
2443,Борей-Арт,9
2444,ЦСЛК,0
2445,Музей петербургского авангарда,1
2446,Музей Ахматовой,1
2447,Революция,2
2448,ЦСЛК,1
2449,Редакция журнала Звезда,1
2450,Революция,2
2451,Буквоед,1
2452,Борей-Арт,2
2453,Дом книги,2
2454,ЦСЛК,1
2455,Музей Ахматовой,8
2456,Библиотека Маяковского,0
2457,Библиотека Маяковского,0
2458,ЦСЛК,1
2459,Музей Ахматовой,3
2460,Библиотека Маяковского,0
2461,Музей Ахматовой,3
2462,Издательство Астрель,14
2463,Борей-Арт,6
2464,Библиотека Маяковского,0
2465,street,18
2466,Буквоед,2
2467,Буквоед,1
2468,Сити-бар,24
2469,Библиотека Маяковского,2
2470,Революция,1
2471,Борей-Арт,2
2472,Музей Набокова,2
2473,Буквоед,1
2474,Борей-Арт,3
2475,Кафе-клуб Песня,1
2476,Музей Блока,2
2477,Манеж,12
2478,Буквоед,1
2479,Буквоед,1
2480,Путевой дворец Петра Первого в Стрельне,4
2481,Библиотека им. Пушкина Петроградского района,1
2482,Стирка,2
2483,Стирка,1
2484,Манхэттен,8
2485,Буквоед,9
2486,Библиотека Маяковского,1
2487,Буквоед,1
2488,ГЭЗ-21,3
2489,Дом книги,1
2490,Che,1
2491,Буквоед,2
2492,Музей Блока,4
2493,Дом книги,1
2494,Буквоед,1
2495,Еврейский общинный центр,1
2496,Дом книги,1
2497,Атриум Мариус Паба,1
2498,Буквоед,1
2499,Манхэттен,5
2500,Дом книги,1
2501,Российская национальная библиотека,2
2502,Российская национальная библиотека,0
2503,Российская национальная библиотека,1
2504,Стирка,0
2505,ЦСЛК,1
2506,Кафе-клуб Песня,1
2507,Манхэттен,4
2508,Буквоед,1
2509,ЦСЛК,2
2510,Кафе-клуб Песня,4
2511,Подвал Бродячей Собаки,1
2512,Музей Державина,4
2513,Борей-Арт,2
2514,ДК Кирова,0
2515,ГЭЗ-21,2
2516,ЦСЛК,2
2517,Буквоед,1
2518,Музей Набокова,1
2519,Стирка,0
2520,Библиотека Маяковского,1
2521,Библиотека Маяковского,2
2522,Манхэттен,8
2523,Библиотека Маяковского,7
2524,Буквоед,1
2525,Орландина,0
2526,Дом книги,4
2527,Дом книги,1
2528,ГЭЗ-21,3
2529,Буквоед,1
2530,Книжный гипермаркет Лас-Книгас,1
2531,Музей Набокова,8
2532,Буквоед,1
2533,Стирка,0
2534,Библиотека Маяковского,3
2535,Дом книги,1
2536,"ОКЦ на Пушкинской, 9",0
2537,Старая Вена,1
2538,ГЭЗ-21,6
2539,ДК Крупской,2
2540,Книжный гипермаркет Лас-Книгас,1
2541,Библиотека Маяковского,1
2542,Манхэттен,7
2543,Российская национальная библиотека,1
2544,Подвал Бродячей Собаки,0
2545,"ОКЦ на Пушкинской, 9",13
2546,Российская национальная библиотека,1
2547,Музей Достоевского,3
2548,ГЭЗ-21,10
2549,Подвал Бродячей Собаки,0
2550,Дом актера,0
2551,Буквоед,0
2552,Буквоед,0
2553,Библиотека Маяковского,1
2554,Российская национальная библиотека,2
2555,Музей нонконформистского искусства,0
2556,Буквоед,0
2557,Музей Ахматовой,2
2558,Подвал Бродячей Собаки,1
2559,Музей Державина,2
2560,Галерея Д-137,9
2561,Старая Вена,16
2562,Дом книги,17
2563,Музей нонконформистского искусства,0
2564,Российская национальная библиотека,2
2565,Дом книги,1
2566,Книжный гипермаркет Лас-Книгас,2
2567,ЦСЛК,2
2568,the place,4
2569,Библиотека Маяковского,1
2570,Манхэттен,1
2571,ЦСЛК,4
2572,Буквоед,1
2573,ГЭЗ-21,1
2574,Буквоед,1
2575,Буквоед,7
2576,Филологический факультет СПбГУ,2
2577,Дом актера,5
2578,ЦСЛК,1
2579,Галерея Исачева,3
2580,ГЭЗ-21,1
2581,Che,2
2582,Старая Вена,0
2583,ЦСЛК,1
2584,Кафе-клуб Песня,3
2585,Эрмитаж,1
2586,Музей Достоевского,1
2587,Циник,2
2588,the place,1
2589,ГЭЗ-21,2
2590,Старая Вена,3
2591,Музей Ахматовой,1
2592,Буквоед,1
2593,ЦСЛК,1
2594,Дом книги,1
2595,Библиотека Маяковского,1
2596,Филологический факультет СПбГУ,1
2597,Еврейский общинный центр,1
2598,ЦСЛК,3
2599,the place,1
2600,Буквоед,1
2601,Музей Ахматовой,1
2602,Дом молодежи,0
2603,ЦСЛК,1
2604,"Российская национальная библиотека, новое здание",1
2605,Музей Достоевского,11
2606,Старая Вена,1
2607,Дом книги,1
2608,Музей Ахматовой,2
2609,Музей Блока,1
2610,Буквоед,1
2611,Библиотека Маяковского,1
2612,the place,1
2613,Музей Ахматовой,1
2614,Буквоед,0
2615,Буквоед,3
2616,Библиотека Маяковского,1
2617,the place,1
2618,Музей Державина,2
2619,Буквоед,1
2620,Дом книги,19
2621,ЦСЛК,1
2622,Филологический факультет СПбГУ,6
2623,ЦСЛК,3
2624,the place,0
2625,Буквоед,3
2626,Буквоед,1
2627,Санкт-Петербургский союз литераторов,1
2628,Старая Вена,1
2629,Библиотека Грибоедова,1
2630,Библиотека Маяковского,1
2631,the place,0
2632,Подвал Бродячей Собаки,23
2633,Дом книги,2
2634,Генеральное консульство Финляндии,2
2635,Европейский университет,4
2636,Старая Вена,4
2637,Буквоед,1
2638,Русский музей,2
2639,ЦСЛК,1
2640,Борей-Арт,2
2641,Дом молодежи,0
2642,Музей Достоевского,2
2643,Кафе-клуб Песня,5
2644,the place,0
2645,Старая Вена,2
2646,Музей Ахматовой,21
2647,Союз писателей России,1
2648,Старая Вена,2
2649,Navicula Artis,6
2650,Музей нонконформистского искусства,1
2651,Библиотека Рыбацкая,4
2652,Библиотека Маяковского,0
2653,Манхэттен,1
2654,Европейский университет,1
2655,Филологический факультет СПбГУ,2
2656,Дом книги,2
2657,Музей Державина,2
2658,ДК Крупской,1
2659,"КЦ на Пушкинской, 10",2
2660,Старая Вена,2
2661,Музей Достоевского,15
2662,Буквоед,2
2663,ЦСЛК,1
2664,Achtung baby!,1
2665,Библиотека Маяковского,0
2666,"ОКЦ на Пушкинской, 9",4
2667,ЦСЛК,4
2668,Старая Вена,3
2669,Буквоед,0
2670,ЦСЛК,1
2671,Выборгская Сторона,15
2672,ЦСЛК,2
2673,Манеж,0
2674,Музей Достоевского,2
2675,Библиотека Маяковского,1
2676,ЦСЛК,3
2677,Achtung baby!,1
2678,Театр поэтов Послушайте!,0
2679,Арт-Центр Пушкинская-10,2
2680,Дом книги,1
2681,Библиотека Рыбацкая,2
2682,Буквоед,1
2683,Библиотека Маяковского,2
2684,Еврейский общинный центр,3
2685,Борей-Арт,4
2686,Музей Державина,2
2687,Дом книги,3
2688,Старая Вена,2
2689,ЦСЛК,4
2690,ЦСЛК,2
2691,Театр поэтов Послушайте!,5
2692,Библиотека Маяковского,0
2693,ЦСЛК,2
2694,Дом книги,1
2695,Музей Пушкина,1
2696,Дом композиторов,7
2697,Шведская церковь Святой Екатерины,8
2698,Театр поэтов Послушайте!,5
2699,Шведская церковь Святой Екатерины,8
2700,ЦСЛК,1
2701,Библиотека Маяковского,1
2702,Литературное радио,5
2703,ИРЛИ,6
2704,Буквоед,2
2705,Старая Вена,1
2706,Музей Набокова,1
2707,Театр поэтов Послушайте!,4
2708,Библиотека Маяковского,0
2709,ЦСЛК,2
2710,Манхэттен,1
2711,Музей Достоевского,4
2712,СПбГУ,1
2713,PinUp,7
2714,Санкт-Петербургский союз литераторов,0
2715,Смольный институт свободных искусств и наук,6
2716,Дом книги,1
2717,Театр поэтов Послушайте!,5
2718,Борей-Арт,3
2719,ДК Ижорский,2
2720,Музей Ахматовой,6
2721,Музей нонконформистского искусства,2
2722,Филологический факультет СПбГУ,3
2723,Еврейский общинный центр,2
2724,Музей Державина,2
2725,Музей Державина,1
2726,Старая Вена,5
2727,Музей петербургского авангарда,1
2728,Буквоед,1
2729,Театр поэтов Послушайте!,2
2730,Библиотека Маяковского,5
2731,Филологический факультет СПбГУ,1
2732,Буквоед,1
2733,Театр поэтов Послушайте!,1
2734,ЦСЛК,2
2735,Буквоед,10
2736,Редакция журнала Звезда,1
2737,Российская национальная библиотека,5
2738,Старая Вена,1
2739,Буквоед,1
2740,Буквоед,0
2741,Театр поэтов Послушайте!,5
2742,Музей Ахматовой,2
2743,Музей Ахматовой,1
2744,Музей Достоевского,3
2745,Библиотека Маяковского,1
2746,Еврейский общинный центр,2
2747,ЦСЛК,4
2748,Старая Вена,1
2749,Буквоед,0
2750,Театр поэтов Послушайте!,1
2751,Музей Ахматовой,1
2752,Библиотека Маяковского,0
2753,ЦСЛК,1
2754,Филологический факультет СПбГУ,1
2755,Музей Державина,1
2756,Старая Вена,2
2757,Театр поэтов Послушайте!,1
2758,Библиотека Маяковского,1
2759,ЦСЛК,2
2760,the place,0
2761,ЦГДБ им. Пушкина,5
2762,PinUp,5
2763,the place,1
2764,Филологический факультет СПбГУ,1
2765,the place,0
2766,ЦСЛК,1
2767,Театр поэтов Послушайте!,2
2768,Библиотека Маяковского,6
2769,ЦСЛК,5
2770,Буквоед,1
2771,the place,0
2772,Буквоед,1
2773,Музей Ахматовой,2
2774,Музей Ахматовой,1
2775,Старая Вена,2
2776,ЦСЛК,4
2777,Буквоед,0
2778,Театр поэтов Послушайте!,3
2779,Музей Достоевского,2
2780,Библиотека Маяковского,1
2781,Еврейский общинный центр,2
2782,ЦСЛК,3
2783,the place,0
2784,Старая Вена,5
2785,Буквоед,2
2786,Театр поэтов Послушайте!,8
2787,ЦСЛК,2
2788,ЦСЛК,3
2789,Редакция журнала Звезда,1
2790,Библиотека Маяковского,1
2791,ЦСЛК,1
2792,the place,0
2793,Музей Ахматовой,2
2794,Ленэкспо,1
2795,Музей Державина,3
2796,Ленэкспо,0
2797,Ленэкспо,1
2798,Музей Ахматовой,1
2799,Борей-Арт,3
2800,Старая Вена,5
2801,Ленэкспо,1
2802,Ленэкспо,1
2803,Ленэкспо,1
2804,Ленэкспо,1
2805,Ленэкспо,2
2806,Дом книги,1
2807,ЦСЛК,8
2808,Старая Вена,3
2809,Ленэкспо,2
2810,Ленэкспо,1
2811,Ленэкспо,1
2812,Ленэкспо,1
2813,Театр поэтов Послушайте!,5
2814,Ленэкспо,1
2815,Борей-Арт,3
2816,Ленэкспо,1
2817,Ленэкспо,2
2818,Ленэкспо,0
2819,Музей нонконформистского искусства,10
2820,Библиотека Маяковского,2
2821,the place,0
2822,Дом книги,1
2823,Чеширский кот,2
2824,Театр поэтов Послушайте!,9
2825,ЦСЛК,1
2826,Стирка,1
2827,Театр поэтов Послушайте!,5
2828,Музей Ахматовой,2
2829,ЦСЛК,6
2830,Борей-Арт,1
2831,ЦСЛК,6
2832,Буквоед,1
2833,ЦСЛК,1
2834,Еврейский общинный центр,2
2835,Старая Вена,1
2836,ЦСЛК,1
2837,Библиотека Рыбацкая,1
2838,Музей Ахматовой,2
2839,Музей Пушкина,10
2840,Европейский университет,9
2841,Центр культурных инициатив Сад,2
2842,Центр культурных инициатив Сад,1
2843,Театр поэтов Послушайте!,6
2844,ЦСЛК,19
2845,Буквоед,0
2846,ЦСЛК,4
2847,ЦСЛК,1
2848,Буквоед,0
2849,Центр культурных инициатив Сад,0
2850,Филологический факультет СПбГУ,1
2851,Буквоед,0
2852,Цоколь,2
2853,СПбГЭУ,6
2854,Редакция журнала Звезда,1
2855,Музей Ахматовой,9
2856,Борей-Арт,0
2857,Музей Достоевского,2
2858,Музей Набокова,1
2859,Филологический факультет СПбГУ,1
2860,Российская национальная библиотека,1
2861,Библиотека Маяковского,1
2862,Подвал Бродячей Собаки,10
2863,Сити-бар,0
2864,ЦСЛК,1
2865,Российская национальная библиотека,0
2866,Музей Набокова,5
2867,Летний сад,0
2868,Театр поэтов Послушайте!,6
2869,Буквоед,0
2870,Балтийский стрелковый центр,0
2871,ЦСЛК,0
2872,Буквоед,0
2873,Музей нонконформистского искусства,2
2874,Музей Ахматовой,1
2875,Библиотека Маяковского,2
2876,Европейский университет,10
2877,ЦСЛК,2
2878,Буквоед,3
2879,ЦСЛК,1
2880,СПбГУ,6
2881,Дом книги,2
2882,Подвал Бродячей Собаки,0
2883,Музей Державина,2
2884,Союз писателей России,0
2885,the place,17
2886,Театр поэтов Послушайте!,4
2887,Музей петербургского авангарда,2
2888,Философский факультет СПбГУ,2
2889,ЦСЛК,14
2890,Библиотека Маяковского,1
2891,Дом книги,3
2892,ЦСЛК,1
2893,Дом книги,1
2894,Ai,3
2895,Музей Ахматовой,1
2896,Библиотека Зощенко,2
2897,Кафе-клуб Песня,0
2898,закрытый клуб,4
2899,Буквоед,14
2900,Музей Ахматовой,1
2901,ЦСЛК,5
2902,ЦСЛК,1
2903,ГЭЗ-21,2
2904,ЦСЛК,1
2905,Буквоед,4
2906,Музей Ахматовой,1
2907,ЦСЛК,1
2908,Санкт-Петербургский союз художников,1
2909,ЦСЛК,1
2910,ЦСЛК,1
2911,Буквоед,0
2912,Чеширский кот,1
2913,Редакция журнала Звезда,1
2914,Буквоед,3
2915,Музей Достоевского,0
2916,Буквоед,2
2917,Смольный институт свободных искусств и наук,1
2918,Книжный гипермаркет Лас-Книгас,1
2919,Дом книги,2
2920,ЦСЛК,1
2921,Российская национальная библиотека,1
2922,Буквоед,1
2923,Кафе-бар Funnydogs,1
2924,Музей Ахматовой,2
2925,Стирка,0
2926,Библиотека Маяковского,2
2927,Еврейский общинный центр,3
2928,ЦСЛК,1
2929,Санкт-Петербургский союз литераторов,11
2930,Сочи,1
2931,Буквоед,2
2932,Дом книги,1
2933,Книжный клуб на Австрийской площади,1
2934,Библиотека Маяковского,1
2935,ЦСЛК,2
2936,Буквоед,1
2937,Сочи,0
2938,Музей Державина,1
2939,Дом книги,1
2940,Старая Вена,4
2941,Дом книги,4
2942,Орландина,1
2943,Музей Ахматовой,1
2944,Буквоед,1
2945,Библиотека национальных литератур,1
2946,Библиотека Маяковского,1
2947,Борей-Арт,1
2948,Музей Ахматовой,1
2949,ЦСЛК,1
2950,Библиотека Лермонтова,4
2951,Театр поэтов Послушайте!,0
2952,Буквоед,1
2953,Библиотека Маяковского,2
2954,Музей Ахматовой,2
2955,Музей Ахматовой,7
2956,Дом книги,1
2957,Российская национальная библиотека,6
2958,Дом Дружбы,3
2959,Буквоед,1
2960,Санкт-Петербургский союз литераторов,0
2961,Театр поэтов Послушайте!,3
2962,Буквоед,1
2963,Подвал Бродячей Собаки,1
2964,Библиотека Маяковского,0
2965,Подвал Бродячей Собаки,1
2966,Подвал Бродячей Собаки,1
2967,Российская национальная библиотека,3
2968,ЦСЛК,1
2969,Музей Ахматовой,2
2970,Старая Вена,1
2971,Дом актера,1
2972,Театр поэтов Послушайте!,3
2973,Музей Ахматовой,5
2974,ЦСЛК,2
2975,Библиотека Маяковского,1
2976,Музей Ахматовой,1
2977,ЦСЛК,1
2978,ГЭЗ-21,1
2979,Российская национальная библиотека,1
2980,Санкт-Петербургский союз литераторов,2
2981,Театр поэтов Послушайте!,5
2982,Оружейника Фёдорова,1
2983,Кончита-Бонита,1
2984,Сочи,1
2985,Дом книги,1
2986,Библиотека Маяковского,1
2987,Еврейский общинный центр,2
2988,ЦСЛК,1
2989,Подвал Бродячей Собаки,0
2990,Музей Державина,2
2991,Музей Ахматовой,0
2992,Подвал Бродячей Собаки,1
2993,Старая Вена,5
2994,Дом книги,1
2995,Редакция журнала Звезда,1
2996,Санкт-Петербургский союз литераторов,1
2997,ЦСЛК,4
2998,Буквоед,1
2999,Концертный зал у Финляндского,2
3000,Стирка,1
3001,Place,1
3002,Подвал Бродячей Собаки,18
3003,Музей Ахматовой,1
3004,ЦСЛК,1
3005,Старая Вена,18
3006,Европейский университет,3
3007,ЦСЛК,1
3008,Старая Вена,2
3009,Буквоед,0
3010,Музей Достоевского,1
3011,Стирка,0
3012,Библиотека Маяковского,2
3013,ЦСЛК,1
3014,Achtung baby!,15
3015,Музей Ахматовой,2
3016,Российская национальная библиотека,1
3017,Музей Ахматовой,2
3018,Театр Комедианты,2
3019,ЦСЛК,4
3020,DO-gallery,1
3021,Библиотека Маяковского,0
3022,Польский Дом,1
3023,Еврейский общинный центр,3
3024,ЦСЛК,1
3025,Музей Ахматовой,1
3026,Дом книги,1
3027,Музей Державина,2
3028,Грибоедов,2
3029,ЦСЛК,1
3030,Театр Комедианты,2
3031,Старая Вена,5
3032,Филологический факультет СПбГУ,2
3033,Союз писателей России,0
3034,Музей Набокова,1
3035,ЦСЛК,1
3036,Центр искусств им. Дягилева,1
3037,Музей И.И.Бродского,24
3038,Музей нонконформистского искусства,2
3039,Библиотека Маяковского,1
3040,Дом книги,2
3041,Музей Ахматовой,2
3042,Буквоед,1
3043,Подвал Бродячей Собаки,6
3044,Дом книги,1
3045,Музей Ахматовой,2
3046,ЦСЛК,1
3047,Французский институт,1
3048,Музей Ахматовой,3
3049,Дом композиторов,2
3050,Буквоед,1
3051,ЦСЛК,1
3052,Дом книги,1
3053,Музей Пушкина,3
3054,Музей Ахматовой,1
3055,Буквоед,1
3056,Книжная лавка писателя,1
3057,Библиотека Маяковского,1
3058,ЦСЛК,3
3059,Музей Ахматовой,1
3060,ЦСЛК,1
3061,Achtung baby!,3
3062,Дом книги,2
3063,Музей Державина,3
3064,Старая Вена,6
3065,Дом книги,1
3066,Музей Ахматовой,2
3067,Галерея Формула,6
3068,Буквоед,1
3069,Борей-Арт,8
3070,Митьки-Арт,4
3071,Митьки-Арт,4
3072,"Арт-центр Пушкинская, 10",0
3073,Библиотека Маяковского,2
3074,Клуб-музей Камчатка,4
3075,ЦСЛК,1
3076,ДК Шелгунова,0
3077,Российская национальная библиотека,2
3078,Музей Ахматовой,1
3079,Российская национальная библиотека,1
3080,Редакция журнала Звезда,7
3081,ЦСЛК,0
3082,Старая Вена,6
3083,Музей истории фотографии,1
3084,Генеральное консульство Финляндии,6
3085,the place,1
3086,ЦСЛК,15
3087,Музей И.И.Бродского,10
3088,Борей-Арт,2
3089,Стирка,0
3090,ЦСЛК,1
3091,Библиотека Маяковского,2
3092,Филологический факультет СПбГУ,1
3093,Еврейский общинный центр,3
3094,Achtung baby!,1
3095,Музей Державина,2
3096,Буквоед,2
3097,ЦСЛК,1
3098,Петербургский художник,5
3099,Музей нонконформистского искусства,1
3100,Achtung baby!,1
3101,Музей Ахматовой,3
3102,Музей Ахматовой,2
3103,Библиотека Маяковского,0
3104,ЦСЛК,1
3105,Подвал Бродячей Собаки,2
3106,Российская национальная библиотека,2
3107,Музей Ахматовой,2
3108,Музей Ахматовой,1
3109,Библиотека Маяковского,1
3110,ЦСЛК,5
3111,Библиотека Лермонтова,15
3112,ИРЛИ,1
3113,Старая Вена,10
3114,ЦСЛК,1
3115,Подвал Бродячей Собаки,5
3116,Подвал Бродячей Собаки,5
3117,Музей нонконформистского искусства,1
3118,Музей Ахматовой,2
3119,Выставочный зал Смольный,2
3120,Библиотека Маяковского,1
3121,ЦСЛК,1
3122,ГЭЗ-21,5
3123,Еврейский общинный центр,3
3124,ЦСЛК,1
3125,ГЭЗ-21,6
3126,Achtung baby!,1
3127,Старая Вена,38
3128,Буквоед,1
3129,Музей Державина,1
3130,Выставочный зал Смольный,11
3131,ЦСЛК,1
3132,Библиотека Маяковского,1
3133,ЦСЛК,1
3134,Музей Зощенко,2
3135,Подвал Бродячей Собаки,5
3136,Буквоед,3
3137,Еврейский общинный центр,6
3138,Борей-Арт,1
3139,Выставочный зал Смольный,6
3140,Библиотека Маяковского,1
3141,ЦСЛК,1
3142,Музей Ахматовой,2
3143,Музей Ахматовой,1
3144,Подвал Бродячей Собаки,2
3145,Музей петербургского авангарда,10
3146,Выставочный зал Смольный,13
3147,Стирка,0
3148,Музей Державина,17
3149,Библиотека Маяковского,3
3150,Еврейский общинный центр,3
3151,Чеширский кот,1
3152,Музей Достоевского,3
3153,Музей Зощенко,1
3154,Музей Ахматовой,1
3155,Музей Зощенко,2
3156,Старая Вена,5
3157,Новый выставочный зал музея городской скульптуры,2
3158,Фонд Михаила Шемякина,1
3159,Музей Ахматовой,1
3160,Выставочный зал Смольный,14
3161,Музей,1
3162,Музей Ахматовой,1
3163,ЦСЛК,1
3164,Achtung baby!,6
3165,Российская национальная библиотека,1
3166,Музей Ахматовой,1
3167,Большая хоральная синагога,1
3168,Музей Державина,2
3169,Дом книги,1
3170,ЦСЛК,1
3171,Старая Вена,1
3172,Музей Пушкина,1
3173,Буквоед,1
3174,Музей Ахматовой,1
3175,DO-gallery,2
3176,ЦСЛК,3
3177,Музей Достоевского,1
3178,Выставочный зал Смольный,4
3179,Библиотека Маяковского,3
3180,Александринский театр,15
3181,Российская национальная библиотека,7
3182,Библиотека Маяковского,1
3183,Музей Ахматовой,2
3184,Музей Зощенко,1
3185,Еврейский общинный центр,2
3186,ЦСЛК,1
3187,Галерея Рахманинов Дворик,1
3188,Старая Вена,4
3189,Санкт-Петербургский союз литераторов,5
3190,Борей-Арт,2
