,event__place__name,event__place__id,lat,lon
125,Стирка,83,59.93056100,30.31780800
126,Театр-лаборатория Арт-Измерение,105,59.94109200,30.34889900
127,Галерея ПИК-Арт,462,59.93094400,30.35950800
128,Камерный театр Малыщицкого,350,59.94000100,30.36093700
129,Малый зал ЦВЗ Манеж,609,59.92644500,30.30002200
130,закрытый клуб,724,59.93246400,30.35180100
131,PRE,480,59.92876700,30.31469100
132,Дом Дружбы,722,59.93486700,30.34299700
133,СПбГЭУ,371,59.93060200,30.32300100
134,Большой театр кукол,513,59.93915800,30.35227700
135,Государственный музей Царскосельская коллекция,445,59.72300300,30.40823300
136,ДК Кирова,736,59.93357700,30.25400100
137,Библиотека им. Молчанова,298,59.85122300,30.24754200
138,Институт Океанологии,416,59.94321400,30.28812800
139,Галерея 2.04,708,59.92913600,30.35933800
140,Кафе-бар Funnydogs,723,59.91958100,30.30639100
141,horosho,780,59.94341300,30.26028000
142,Библиотека Павловска,603,59.68641100,30.43159800
143,4friends,770,59.93607900,30.35782800
144,Жук,93,59.92970500,30.31984800
145,Нико,58,59.92535300,30.35437900
146,Буквоед,19,59.85878700,30.24834200
147,Этажи,843,59.92202100,30.35552000
148,Издательство Астрель,739,59.93563300,30.31357700
149,ДК Горького,443,59.90052000,30.27607300
150,Red Club,478,59.92681400,30.36858100
151,ДК Ленсовета,590,59.96686300,30.30998400
152,Театр поэтов Послушайте!,148,59.92963700,30.35673200
153,Дом Кочневой,530,59.93070500,30.33926900
154,Амплитуда,1,59.92913600,30.35933800
155,Институт психологии и социальной работы,466,59.93848200,30.27426700
156,"Российская национальная библиотека, новое здание",230,59.86649900,30.32000000
157,Театр фантастики,820,59.94062300,30.34119200
158,Галерея Д-137,735,59.93238300,30.35240300
159,Клуб-фестиваль Морзе,370,59.92439700,30.24203600
160,Причал на набережной Робеспьера,580,59.94971700,30.36162800
161,Ленинград Центр,706,59.94645900,30.36917400
162,Лекторий Cultura,823,59.93594400,30.32409700
163,Библиотека национальных литератур,170,59.92828900,30.32080900
164,street,53,60.02038600,30.29274500
165,Арт-Центр Пушкинская-10,838,59.92913600,30.35933800
166,street,53,59.86516700,29.92507400
167,Нико,58,59.93054300,30.32395300
168,"ЦГДБ им. Пушкина, филиал № 1",153,59.94029400,30.35569000
169,Памятник первопроходцам и покорителям Арктики,331,59.94627000,30.23343900
170,Старый город,682,59.94485900,30.29017600
171,Шереметевский дворец,561,59.93644900,30.34545900
172,Дом национальностей Санкт-Петербурга,694,59.94401700,30.34491100
173,Центральная районная библиотека Кронштадта,207,59.99580900,29.76752700
174,Музей Юрия Инге в Стрельне,782,59.85375800,30.03795600
175,Петербургский художник,702,59.92767600,30.29462300
176,street,53,59.92924500,30.35700200
177,Галерея Палитра,419,59.93638100,30.31338900
178,Театр Мастерская,226,59.87780000,30.45936500
179,Зеленый шатер,280,60.19246900,29.79769300
180,ЦСЛК,61,59.94547200,30.29376100
181,"Выставочный зал Николаевская, 16",509,59.87666200,29.95453000
182,Центр современного искусства при СПбГУ,434,59.94346200,30.29880900
183,Шведская церковь Святой Екатерины,730,59.93865300,30.32576800
184,Сухой фонтан,812,59.88513300,30.44336600
185,Музей политической истории России,303,59.95458800,30.32506700
186,РХГА,264,59.93619200,30.34304200
187,Дитрихбар,570,59.92667900,30.32499500
188,Книжный гипермаркет Лас-Книгас,692,59.93906300,30.28422000
189,Литературное кафе,426,59.93655700,30.31824900
190,Московский вокзал,375,59.93014600,30.36205900
191,Выборгский замок,765,60.71576400,28.72880600
192,Магазин Индиго,748,59.93181500,30.35283400
193,"Галерея ""Фотоimage""",836,59.92913600,30.35933800
194,horosho,780,59.94010000,30.29173900
195,Музей нонконформистского искусства,182,59.92913600,30.35933800
196,Музей П.Щербова,393,59.55739600,30.13356400
197,Галар Кампот,101,59.93218000,30.36947100
198,Рубинштейн,48,59.93003800,30.34497400
199,Мастерская художника,319,59.96825000,30.30206100
200,Арт-мастерская Колесо,578,59.92617900,30.37070100
201,Санкт-Петербургский научный центр РАН,441,59.94086200,30.30293200
202,Ленфильм,841,59.95827300,30.31698200
203,Дюны,65,59.92484400,30.35894200
204,Улитка на склоне,553,59.93277500,30.32732200
205,набережная Невы,366,59.89664400,30.42377400
206,Дом молодежи Царскосельский,439,59.72257200,30.40973300
207,Театр Ток,283,59.94364300,30.29601500
208,Академическая гимназия СПбГУ,442,59.95227700,30.23546000
209,Книги и кофе,11,59.93304100,30.32605500
210,Театральный зал Монтессори-школы Михайловой,793,59.98079000,30.40157600
211,Творческое пространство Кипарис,630,59.91471000,30.39904300
212,Культурный центр Фёдоровского собора,808,59.92155600,30.37756400
213,НИУ ВШЭ,242,59.92300400,30.30332800
214,Бироновы конюшни,390,59.94118600,30.32116800
215,Книжный магазин Любимая история,619,59.94346700,30.27429400
216,Квартира. Разговоры,262,59.93720200,30.32039600
217,HXGN,130,59.92883900,30.34429100
218,Книжный салон,70,59.93684100,30.33931400
219,Ресторан Никольский 8,671,59.92065000,30.30453100
220,Море,631,59.93423100,30.31029000
221,"Театр ""Суббота""",849,59.91830000,30.34302400
222,Мастерская Юрия Молодковца,75,59.94006000,30.28767000
223,Коворкинг Контекст,312,59.96353000,30.32194100
224,Ленинградская Областная Научная Универсальная Библиотека,835,59.93643100,30.38423900
225,Библиотека Лавренева,123,59.96982100,30.30804400
226,Редакция журнала Звезда,91,59.94354800,30.34569200
227,Павловский центр культуры,99,59.68568000,30.44217100
228,Мастерская авторского Кофе Аддис,805,59.93947400,30.37743900
229,Кухня,493,59.93202200,30.36831200
230,Trashroom,822,59.90957600,30.28717600
231,Заведение Алилуя,376,59.93732800,30.33735600
232,Зона действия,846,59.92202100,30.35552000
233,Петрович,565,59.92242200,30.34964500
234,Центральный лекторий,378,59.93830600,30.34883600
235,Библиотека Семеновская,154,59.91097400,30.31919200
236,Арт-Полигон,388,59.92913600,30.35933800
237,Кафе-бар Пегас,144,59.94923100,30.35065100
238,Пресс-центр Культура Северо-Запада России,821,59.93479000,30.33570300
239,Книжный клуб на Австрийской площади,395,59.95967400,30.31778200
240,Галерея дизайна Bulthaup,361,59.93955500,30.32444700
241,Бертгольд-Центр,102,59.92814500,30.31239200
242,Freedom,318,59.93237800,30.32104200
243,Библиотека семейного чтения,459,59.90921500,29.77465100
244,Библиотека Островского,435,59.93617400,30.26924600
245,Центр современного искусства им. С.Курёхина,842,59.93387000,30.24592500
246,Международный центр развития Счастье жизни,766,59.94551700,30.35215100
247,Рюмочная На бровях,297,59.92694100,30.34080500
248,Колбабар,200,59.94660800,30.36565300
249,Route 148,533,59.89466200,30.32872300
250,Мансарда,707,59.92570500,30.35251900
251,the place,116,59.89949600,30.28982600
252,Стокер,316,59.92802700,30.32743800
253,Театр дождей,504,59.91793500,30.30422600
254,"Пушкинская, 10",833,59.92951500,30.35755900
255,Деревня Художников,421,60.04833200,30.29435300
256,street,53,59.90289400,30.21707100
257,Анненкирхе,129,59.94423300,30.35277100
258,Дуня,574,59.94491400,30.28882900
259,Театр Куклы,172,60.01008800,30.35807100
260,Мемориал,491,59.92799100,30.34305100
261,Малая сцена Театра на Васильевском,817,59.94150600,30.27231800
262,Чердак,325,59.95799400,30.33381600
263,Борхес,23,59.93551100,30.32903700
264,Галерея Велес-студио,696,60.20123500,29.70443900
265,Буквоед,19,59.93630000,30.31675700
266,Синий Пушкин,324,59.92684100,30.38459800
267,Дом офицеров,844,59.94370100,30.34909700
268,street,53,59.72246300,30.41694700
269,Музей Державина,39,59.91903100,30.30991200
270,Choker,250,59.93304100,30.32605500
271,Музыка и кофе,334,59.96689000,30.31402700
272,Академическая капелла,138,59.94001900,30.32106900
273,Железный лев,679,59.93645300,30.34863000
274,Лавочка детских книг,384,59.92321100,30.33040300
275,"Встретились, поговорили",296,59.92799100,30.34305100
276,Костел св. Екатерины,188,59.93551100,30.32903700
277,КЗ Колизей,309,59.93200800,30.35561900
278,"Подъездной переулок, д. 12",512,59.91849400,30.33378100
279,ANDY BAR,206,59.92484400,30.35894200
280,Квартирник,746,59.89664400,30.42377400
281,street,53,59.92559200,30.34065300
282,Ломоносовский дом культуры,755,59.91470500,29.77471400
283,black books bar,857,59.92684100,30.34246700
284,Центр культурных инициатив Сад,727,60.00258400,30.34778500
285,Санкт-Петербургский филиал Московского Дома национальностей,573,59.93053900,30.31652400
286,Дом композиторов,208,59.93199500,30.30543000
287,офис ПАРНАСа и Открытой России,818,59.93585800,30.34314100
288,ДК Розы,183,59.94636900,30.26412500
289,Порядок слов,21,59.93619200,30.34304200
290,Буквоед,19,60.01153600,30.39781200
291,Библиотека Грибоедова,59,59.92881600,30.32117700
292,РЫБАПИЛА,741,59.93304100,30.32605500
293,Кинотеатр Англетер,169,59.93391500,30.30877100
294,Dead poets bar,852,59.93612400,30.35336400
295,Литераторские мостки Волкова Кладбища,640,59.90428800,30.35935600
296,Все свободны,36,59.93880200,30.31997300
297,Новый музей,223,59.94284500,30.27938800
298,Галерея Двойка,119,59.94393100,30.32535400
299,Музей звука,251,59.92913600,30.35933800
300,Ресторан Пьер,615,59.93808100,30.34784800
301,ПОЭТому,76,59.93164800,30.34592600
302,Navicula Artis,382,59.92913600,30.35933800
303,Крыша Roof Place,290,59.92599800,30.26624500
304,Администрация Петроградского района,217,59.96156100,30.31840100
305,Доска,595,59.93237800,30.32104200
306,"КЦ на Пушкинской, 10",732,59.92913600,30.35933800
307,Главный Штаб,186,59.93870300,30.31800600
308,Библиотека Мамина-Сибиряка,693,59.71962300,30.40211500
309,Art-cross,482,59.92901500,30.37802300
310,Зал ожидания,602,59.90810100,30.30735200
311,Выборгская Сторона,666,59.97071800,30.34331200
312,Творческое пространство Пальма,162,59.92837900,30.30034500
313,весь мир,538,59.93909500,30.31586800
314,Буквоед,19,59.82833700,30.37808500
315,Achtung baby!,658,59.94070400,30.32599200
316,Подвал Бродячей Собаки,96,59.93671500,30.33373600
317,Time-cafe Саквояж,638,59.94472000,30.28835300
318,Третье место,589,59.92227300,30.34742600
319,Библиотека им. Пушкина Петроградского района,4,59.96520500,30.31153800
320,Оружейника Фёдорова,719,59.94513000,30.33853300
321,Кинотеатр Прибой,743,59.93387000,30.24592500
322,Театр Балтийский дом,556,59.95511100,30.31165500
323,Галерея АРТ-бюро,413,59.92913600,30.35933800
324,Библиотека роста и карьеры,343,59.88508300,30.32054800
325,Театр на Литейном,228,59.93719700,30.34777600
326,Школа нового кино,304,59.92674700,30.30341700
327,КЗ Аврора,562,59.95698900,30.34135300
328,Ионотека,6,59.93086300,30.32193200
329,Особняк Румянцева,272,59.93220700,30.28993400
330,Петергофский студгородок СПбГУ,463,59.88402700,29.90857200
331,Пространство COM.NATA,807,59.92484400,30.35894200
332,Магазин Подписные издания,42,59.93478600,30.34768600
333,Чеширский кот,430,59.93577300,30.35242100
334,"ЦГДБ им. Пушкина, филиал № 3",89,59.93909500,30.31586800
335,Еврейский общинный центр,41,59.93200800,30.34539600
336,Invader,293,59.92202100,30.35552000
337,Лаборадория Интимное место,243,59.94810000,30.34325800
338,Summerbar,63,59.93046200,30.31824000
339,Польский Дом,197,59.94114100,30.35820600
340,The LOFT,792,59.94501700,30.29356300
341,Центр книги и графики,452,59.93566900,30.34773100
342,Библиотека Ленина,108,59.95753000,30.30295000
343,Бар мистера Кокошки,542,59.92390600,30.34919600
344,Театр Остров,314,59.96284500,30.31390100
345,Люмьер-Холл,850,59.91095600,30.32863300
346,Самосуд,532,59.93206700,30.32361200
347,Чайхана Аъало,161,59.92751300,30.31578700
348,Союз художников,271,59.93406000,30.33917000
349,ДК Ижорский,660,59.74623800,30.59412100
350,Детская библиотека истории и культуры Петербурга,555,59.92048700,30.34304200
351,Театр Под самой крышей,497,59.96284500,30.31390100
352,Юсуповский сад,795,59.92440600,30.31365800
353,"ЦГДБ им. Пушкина, филиал № 3",89,59.93354100,30.36675800
354,Русско-немецкий центр встреч,84,59.93594400,30.32409700
355,Музей Ахматовой,8,59.93633200,30.34770400
356,Троицкая библиотека,229,59.95292100,30.32784300
357,Лицей,379,59.92699900,30.33352000
358,Редакция Санкт-Петербургских ведомостей,246,59.92745900,30.35259100
359,Библиотека Лиговская,121,59.92250300,30.35487300
360,Галерея Свиное рыло,368,59.93767500,30.34245800
361,Библиотека на Морской,622,59.94433700,30.20701900
362,Елагин дворец,608,59.97932200,30.27001800
363,Краеведческий музей посёлка Комарово,500,60.18464900,29.82622300
364,Центр Петербургская иудаика,468,59.93349200,30.30447700
365,Открытое пространство,85,59.92315700,30.34703100
366,Чудо-бар,465,59.93489800,30.33507400
367,Гостиница-отель Аннушка,683,59.91240900,30.25975900
368,Фонд Михаила Шемякина,253,59.93565100,30.33545100
369,Кафе-клуб Песня,145,59.95821900,30.30754100
370,Banka Soundbar,110,59.94681500,30.34603400
371,Концертный зал у Финляндского,238,59.95384500,30.35689400
372,Физический факультет СПбГУ,418,59.88157000,29.82360000
373,Кухня,493,59.93809000,30.34659900
374,Клуб автопутешественников,598,60.00366900,30.28880200
375,Sketchbar,771,59.93311300,30.32832800
376,Библиотека Ржевская,349,59.95423200,30.46986600
377,Кафе драмы и комедии,548,59.98036200,30.35492700
378,Галерея Квартира Алексея Сергиенко,257,59.93204900,30.32172500
379,Малая сцена театра им. Ленсовета,652,59.93002500,30.34829700
380,Хостел На улице Ленина,12,59.96349400,30.30154000
381,Квартал,386,59.93237800,30.32104200
382,Классическая гимназия 610,193,59.95500700,30.29213500
383,Жан-Жак,689,59.92991200,30.35499000
384,Цоколь,55,59.93399200,30.36541000
385,Школа музыки Эглерио,300,60.04148100,30.31893100
386,Сити-бар,554,59.94549000,30.35421700
387,Филологический факультет РГПУ им. Герцена,204,59.94654000,30.28433700
388,Букбери,749,59.88869500,30.51011100
389,Музей Ротонда,233,59.92571900,30.32582100
390,Книги и кофе,11,59.94467000,30.34321300
391,Эрарта,5,59.93189600,30.25162100
392,Мастерская Горынина,641,59.98034800,30.34041900
393,club 2012,501,59.92137600,30.35285200
394,Универсальный лекторий Александрийская библиотека,133,59.92355900,30.34659000
395,Севкабель Порт,336,59.92439700,30.24203600
396,Европейский университет,31,59.94797800,30.34137100
397,Гете-институт в Санкт-Петербурге,209,59.93236500,30.31418800
398,Зеленый шатер,280,60.19225400,29.79658800
399,Театр музкомедии,753,59.93629600,30.33310700
400,Лофт Rizzordi,632,59.91162000,30.26786200
401,Малый зал филармонии,146,59.93553800,30.32734000
402,Библиотека Светлова в Колпино,308,59.74437000,30.58290100
403,Орландина,511,59.96982100,30.30804400
404,Музей театрального и музыкального искусства,282,59.93177000,30.33626900
405,Арт-пространство Bye-bye Ballet,514,59.93809000,30.34659900
406,Николаевский дворец,410,59.93323500,30.29577300
407,Галерея Ветер странствий,117,59.92084400,30.31189800
408,street,53,59.93445200,30.31994600
409,Паб Кино,711,59.93700800,30.33659200
410,Эпсилон-бар,585,59.92650800,30.34097600
411,Лес Вилла,211,59.93237800,30.32104200
412,Китайский летчик Джао Да,400,59.94219600,30.34130800
413,Гримерка,544,59.86330600,30.31337100
414,Центр искусств им. Дягилева,203,59.93590300,30.28279200
415,Крышабар,643,59.96982100,30.30804400
416,Петербургский архив и библиотека независимого искусства,834,59.92951500,30.35755900
417,Центральная детская библиотека Приморского района,258,60.01487300,30.24981500
418,Синий Пушкин,324,59.93579100,30.35023800
419,Петровский оздоровительный центр,845,60.04461700,30.30522300
420,Университетский центр,476,59.94299400,30.29656300
421,Театр ЦЕХъ,809,59.94070400,30.32599200
422,Art lab Medovarus,759,59.93001100,30.32239900
423,street,53,59.93738700,30.36751200
424,ИРЛИ,177,59.94481000,30.30139600
425,Жук,93,59.92999300,30.31864400
426,Книжная лавка писателя,22,59.93375800,30.34200900
427,Российская национальная библиотека,18,59.93340200,30.33465200
428,Union,78,59.93566900,30.34773100
429,Библиотека Тимирязева,34,59.90766300,30.29694100
430,Арт-мансарда 4'33,806,59.94450800,30.29350000
431,Африка,279,59.91963100,30.35182800
432,Академия художеств,236,59.93749500,30.29025700
433,Сайгон,487,59.93660700,30.31426000
434,ГостинкаART,579,59.93417200,30.33263100
435,Мастерская Виктора Тихомирова,772,59.94246200,30.32838200
436,Книжный магазин Марки и закладки,155,59.94062300,30.34119200
437,Книжный магазин Мир печати,440,59.92988500,30.32469000
438,Инженерный замок,606,59.94023500,30.33705900
439,ДК Громов,263,59.92138900,30.41209600
440,Дом Дружбы,722,59.93378500,30.34845000
441,Ателье,139,59.93231500,30.32677400
442,Революция,740,59.93075100,30.32792300
443,Легко-легко,592,59.95511500,30.29730000
444,Издательство Петербургский писатель,503,59.93942400,30.34876400
445,Борей-Арт,152,59.93403300,30.34846800
446,Святодуховский центр Александро-Невской Лавры,455,59.92110100,30.38852400
447,Цветочки,295,59.92799100,30.34305100
448,BIRD Photostudio,248,59.89074900,30.31880600
449,Галерея 14/45,775,59.94516100,30.27658500
450,Театр поэтов Послушайте!,148,59.90289400,30.21707100
451,Rat hole,256,59.90864700,30.28007000
452,Husky бар,777,59.91367200,30.31347900
453,Росбалт,150,59.94298000,30.32902800
454,Кэшбар,126,59.93448300,30.34290700
455,Кончита-Бонита,721,59.92924000,30.32053000
456,Синий Пушкин,324,59.93277500,30.32732200
457,Креативное пространство Ткачи,581,59.91540000,30.34207200
458,Библиотека Екатерингофская,157,59.91154700,30.28586400
459,Ресторан VEER,113,59.92952400,30.31505100
460,Квартира Кости Кройца,778,59.93151700,30.35507100
461,street,53,59.68641100,30.43159800
462,квартирник,356,59.94147500,30.37876800
463,Аничков Дворец,194,59.93304500,30.33982600
464,Свои книги,174,59.94472000,30.28634000
465,Тайное общество,104,59.94062300,30.34119200
466,NAMEGALLERY,662,59.93900000,30.32323400
467,Кафе Соло на столе,529,59.89745600,30.29115500
468,Дом причта Феодоровского собора,160,59.92491600,30.37026100
469,Отель Indigo,72,59.94632400,30.34754300
470,ДКиН СПбГУ,454,59.87430900,29.82713100
471,Консульство Республики Польша в Санкт-Петербурге,189,59.93524500,30.36861700
472,ПирОГИ,399,59.93370800,30.34462300
473,Дом ученых,381,59.94340400,30.31966800
474,Арт-Лига,345,59.92913600,30.35933800
475,Кофейня Идеальная чашка,486,59.94023500,30.28140000
476,Грязная галерея,604,59.92607900,30.35179200
477,Арт-пространство Тайна,716,59.92279600,30.35269900
478,Freedom,318,59.93246400,30.35180100
479,Нико,58,59.92281500,30.35611300
480,Выставочный зал Московского района,66,59.86847800,30.31739500
481,Библиотека Маяковского,14,59.93230600,30.34373400
482,Галерея Исачева,409,59.93022300,30.30336400
483,СПбГУ,134,59.94074000,30.30024600
484,Чаплин-Клуб,275,59.94626600,30.36011000
485,ЦНСИ,607,59.92414500,30.35621100
486,Театр Буфф,688,59.93164800,30.41729700
487,Новый выставочный зал музея городской скульптуры,373,59.92336000,30.38485900
488,Матисс-клуб,286,59.92279600,30.30263600
489,Лендок,171,59.92406400,30.29695000
490,Музей Гумилева,69,59.92653000,30.35508900
491,street,53,59.92501500,30.38274800
492,street,53,59.91225600,30.32932500
493,Школа Masters,232,59.93613300,30.33429300
494,Буржуазия,507,59.92913600,30.35933800
495,lampa studio,51,59.92913600,30.35933800
496,Библиотека Маяковского,14,59.93182800,30.34337500
497,Причал,90,59.94208800,30.32172500
498,Театр Синтез,95,59.96270600,30.29845000
499,street,53,59.96329600,30.31295800
500,Библиотека Серафимовича,558,60.03598000,30.32444700
501,Библиотека Салтыкова-Щедрина,259,59.99942200,30.28032200
502,Гуманитарный Университет профсоюзов,521,59.87934400,30.37746600
503,Таврический сад,575,59.94581500,30.36878800
504,Библиотека пос. Комарово,357,60.19037600,29.81601000
505,Галерея 21,505,59.92913600,30.35933800
506,Дом архитектора,220,59.93142700,30.30461200
507,Высшая школа журналистики и массовых коммуникаций,617,59.94271000,30.28868500
508,JFC-Jazz-club,645,59.94884300,30.35638200
509,street,53,59.90668400,30.29868300
510,"Причал на наб. Макарова, 26",714,59.94819900,30.28146300
511,Досуговый клуб Ритм,681,59.83013300,30.20339900
512,Чайный домик Летнего сада,433,59.94490500,30.33555000
513,Буквоед,19,59.93268500,30.36262500
514,Fish fabrique nouvelle,46,59.92913600,30.35933800
515,Библиотека Малоохтинская,773,59.92519100,30.41520400
516,Дом Галича,307,59.92606600,30.37749300
517,Музей Пушкина,109,59.94118600,30.32116800
518,Этобар,266,59.92975400,30.34824300
519,ДПЦ Спасский,779,59.92514600,30.31715300
520,Александринский театр,437,59.93177000,30.33626900
521,Susanin,628,59.93304100,30.32605500
522,Генеральное консульство Финляндии,396,59.94359300,30.35234000
523,Бард-клуб Парус,287,59.92154300,30.35520500
524,Дом дружбы народов Ленинградской Области,176,59.94759500,30.36887800
525,Восточноевропейский институт психоанализа,425,59.95539400,30.29482100
526,Галерея Мольберт,534,59.93968100,30.32359400
527,Дом творчества композиторов,502,59.99501200,30.14877200
528,Магазин Академкнига,586,59.96398000,30.29234100
529,Пушкинский районный дом культуры,453,59.71585700,30.41356000
530,Kletka,301,59.94364300,30.29601500
531,Quo Vadis!?,417,59.93594400,30.32409700
532,street,53,59.95796700,30.32131200
533,ТРК Меркурий,332,59.74058800,30.58406000
534,DaDa,489,59.92739600,30.32332400
535,Depeche Mode,358,59.93187800,30.31265200
